[catch_wm s0 d0] variant C_world_model on cpu; env synthetic:catch (sticky=0.0); actions ['NOOP', 'FIRE', 'RIGHT', 'LEFT']; budget 20000 decisions, warmup until 1000
[catch_wm s0 d7473] episode 131: return -2, 60 decisions
[catch_wm s0 d7527] episode 132: return -3, 54 decisions
[catch_wm s0 d7586] episode 133: return -5, 59 decisions
[catch_wm s0 d7645] episode 134: return -3, 59 decisions
[catch_wm s0 d7701] episode 135: return -5, 56 decisions
[catch_wm s0 d7759] episode 136: return -5, 58 decisions
[catch_wm s0 d7815] episode 137: return -5, 56 decisions
[catch_wm s0 d7875] episode 138: return -3, 60 decisions
[catch_wm s0 d7932] episode 139: return -5, 57 decisions
[catch_wm s0 d7988] episode 140: return -5, 56 decisions
[catch_wm s0 d8048] episode 141: return -4, 60 decisions
[catch_wm s0 d8108] episode 142: return -2, 60 decisions
[catch_wm s0 d8168] episode 143: return -4, 60 decisions
[catch_wm s0 d8227] episode 144: return -5, 59 decisions
[catch_wm s0 d8279] episode 145: return -3, 52 decisions
[catch_wm s0 d8335] episode 146: return -5, 56 decisions
[catch_wm s0 d8395] episode 147: return -4, 60 decisions
[catch_wm s0 d8453] episode 148: return -5, 58 decisions
[catch_wm s0 d8513] episode 149: return -3, 60 decisions
[catch_wm s0 d8569] episode 150: return -5, 56 decisions
[catch_wm s0 d8628] episode 151: return -3, 59 decisions
[catch_wm s0 d8688] episode 152: return -5, 60 decisions
[catch_wm s0 d8747] episode 153: return -5, 59 decisions
[catch_wm s0 d8800] episode 154: return -5, 53 decisions
[catch_wm s0 d8857] episode 155: return -5, 57 decisions
[catch_wm s0 d8913] episode 156: return -5, 56 decisions
[catch_wm s0 d8970] episode 157: return -5, 57 decisions
[catch_wm s0 d9000] update 2000: loss_q=0.0159 loss_jepa=0.0681 loss_reward=0.0265 loss_continue=0.0420 loss_var=0.0000 latent_std_mean=0.5908
[catch_wm s0 d9028] episode 158: return -5, 58 decisions
[catch_wm s0 d9084] episode 159: return -5, 56 decisions
[catch_wm s0 d9143] episode 160: return -5, 59 decisions
[catch_wm s0 d9198] episode 161: return -5, 55 decisions
[catch_wm s0 d9255] episode 162: return -5, 57 decisions
[catch_wm s0 d9315] episode 163: return -5, 60 decisions
[catch_wm s0 d9372] episode 164: return -5, 57 decisions
[catch_wm s0 d9430] episode 165: return -5, 58 decisions
[catch_wm s0 d9484] episode 166: return -3, 54 decisions
[catch_wm s0 d9540] episode 167: return -5, 56 decisions
[catch_wm s0 d9594] episode 168: return -5, 54 decisions
[catch_wm s0 d9654] episode 169: return -4, 60 decisions
[catch_wm s0 d9712] episode 170: return -5, 58 decisions
[catch_wm s0 d9772] episode 171: return -4, 60 decisions
[catch_wm s0 d9830] episode 172: return -5, 58 decisions
[catch_wm s0 d9888] episode 173: return -5, 58 decisions
[catch_wm s0 d9943] episode 174: return -3, 55 decisions
[catch_wm s0 d9999] episode 175: return -5, 56 decisions
[catch_wm s0 d10000] eval [q] return -2.60 ± 2.29 (10 episodes, 572 eval decisions)
[catch_wm s0 d10000] eval [lookahead] return -4.80 ± 0.40 (10 episodes, 572 eval decisions)
[catch_wm s0 d10000] checkpoint saved (2250 updates, 205s)
[catch_wm s0 d10059] episode 176: return -5, 60 decisions
[catch_wm s0 d10116] episode 177: return -3, 57 decisions
[catch_wm s0 d10174] episode 178: return -5, 58 decisions
[catch_wm s0 d10229] episode 179: return -3, 55 decisions
[catch_wm s0 d10287] episode 180: return -5, 58 decisions
[catch_wm s0 d10342] episode 181: return -1, 55 decisions
[catch_wm s0 d10402] episode 182: return -4, 60 decisions
[catch_wm s0 d10461] episode 183: return -5, 59 decisions
[catch_wm s0 d10519] episode 184: return -3, 58 decisions
[catch_wm s0 d10577] episode 185: return -5, 58 decisions
[catch_wm s0 d10634] episode 186: return -3, 57 decisions
[catch_wm s0 d10693] episode 187: return -5, 59 decisions
[catch_wm s0 d10753] episode 188: return -5, 60 decisions
[catch_wm s0 d10811] episode 189: return -5, 58 decisions
[catch_wm s0 d10871] episode 190: return -2, 60 decisions
[catch_wm s0 d10931] episode 191: return -4, 60 decisions
[catch_wm s0 d10990] episode 192: return -5, 59 decisions
[catch_wm s0 d11000] update 2500: loss_q=0.0149 loss_jepa=0.0691 loss_reward=0.0252 loss_continue=0.0417 loss_var=0.0000 latent_std_mean=0.6098
[catch_wm s0 d11045] episode 193: return -5, 55 decisions
[catch_wm s0 d11105] episode 194: return -4, 60 decisions
[catch_wm s0 d11162] episode 195: return -5, 57 decisions
[catch_wm s0 d11218] episode 196: return -5, 56 decisions
[catch_wm s0 d11275] episode 197: return -5, 57 decisions
[catch_wm s0 d11333] episode 198: return -1, 58 decisions
[catch_wm s0 d11388] episode 199: return -5, 55 decisions
[catch_wm s0 d11445] episode 200: return -5, 57 decisions
[catch_wm s0 d11502] episode 201: return -5, 57 decisions
[catch_wm s0 d11559] episode 202: return -5, 57 decisions
[catch_wm s0 d11618] episode 203: return -5, 59 decisions
[catch_wm s0 d11678] episode 204: return -3, 60 decisions
[catch_wm s0 d11736] episode 205: return -5, 58 decisions
[catch_wm s0 d11794] episode 206: return -5, 58 decisions
[catch_wm s0 d11854] episode 207: return -4, 60 decisions
[catch_wm s0 d11914] episode 208: return -4, 60 decisions
[catch_wm s0 d11971] episode 209: return -3, 57 decisions
[catch_wm s0 d12029] episode 210: return -5, 58 decisions
[catch_wm s0 d12088] episode 211: return -1, 59 decisions
[catch_wm s0 d12144] episode 212: return -5, 56 decisions
[catch_wm s0 d12199] episode 213: return -5, 55 decisions
[catch_wm s0 d12253] episode 214: return -5, 54 decisions
[catch_wm s0 d12313] episode 215: return -4, 60 decisions
[catch_wm s0 d12369] episode 216: return -5, 56 decisions
[catch_wm s0 d12424] episode 217: return -5, 55 decisions
[catch_wm s0 d12484] episode 218: return -2, 60 decisions
[catch_wm s0 d12542] episode 219: return -5, 58 decisions
[catch_wm s0 d12598] episode 220: return -5, 56 decisions
[catch_wm s0 d12654] episode 221: return -5, 56 decisions
[catch_wm s0 d12711] episode 222: return -5, 57 decisions
[catch_wm s0 d12768] episode 223: return -5, 57 decisions
[catch_wm s0 d12826] episode 224: return -3, 58 decisions
[catch_wm s0 d12885] episode 225: return -5, 59 decisions
[catch_wm s0 d12942] episode 226: return -3, 57 decisions
[catch_wm s0 d13000] update 3000: loss_q=0.0152 loss_jepa=0.0724 loss_reward=0.0222 loss_continue=0.0421 loss_var=0.0000 latent_std_mean=0.6209
[catch_wm s0 d13001] episode 227: return -5, 59 decisions
[catch_wm s0 d13059] episode 228: return -3, 58 decisions
[catch_wm s0 d13115] episode 229: return -3, 56 decisions
[catch_wm s0 d13174] episode 230: return -5, 59 decisions
[catch_wm s0 d13234] episode 231: return -5, 60 decisions
[catch_wm s0 d13293] episode 232: return -5, 59 decisions
[catch_wm s0 d13352] episode 233: return -3, 59 decisions
[catch_wm s0 d13409] episode 234: return -5, 57 decisions
[catch_wm s0 d13468] episode 235: return -5, 59 decisions
[catch_wm s0 d13527] episode 236: return -5, 59 decisions
[catch_wm s0 d13587] episode 237: return -5, 60 decisions
[catch_wm s0 d13647] episode 238: return -4, 60 decisions
[catch_wm s0 d13705] episode 239: return -5, 58 decisions
[catch_wm s0 d13761] episode 240: return -1, 56 decisions
[catch_wm s0 d13821] episode 241: return -4, 60 decisions
[catch_wm s0 d13875] episode 242: return -1, 54 decisions
[catch_wm s0 d13931] episode 243: return -3, 56 decisions
[catch_wm s0 d13983] episode 244: return -5, 52 decisions
[catch_wm s0 d14039] episode 245: return -5, 56 decisions
[catch_wm s0 d14094] episode 246: return -3, 55 decisions
[catch_wm s0 d14152] episode 247: return -3, 58 decisions
[catch_wm s0 d14212] episode 248: return -4, 60 decisions
[catch_wm s0 d14270] episode 249: return -1, 58 decisions
[catch_wm s0 d14329] episode 250: return -5, 59 decisions
[catch_wm s0 d14388] episode 251: return -5, 59 decisions
[catch_wm s0 d14444] episode 252: return -5, 56 decisions
[catch_wm s0 d14502] episode 253: return -5, 58 decisions
[catch_wm s0 d14562] episode 254: return -5, 60 decisions
[catch_wm s0 d14622] episode 255: return -3, 60 decisions
[catch_wm s0 d14677] episode 256: return -3, 55 decisions
[catch_wm s0 d14733] episode 257: return -3, 56 decisions
[catch_wm s0 d14793] episode 258: return -5, 60 decisions
[catch_wm s0 d14853] episode 259: return +0, 60 decisions
[catch_wm s0 d14909] episode 260: return -3, 56 decisions
[catch_wm s0 d14969] episode 261: return -5, 60 decisions
[catch_wm s0 d15000] update 3500: loss_q=0.0160 loss_jepa=0.0821 loss_reward=0.0207 loss_continue=0.0426 loss_var=0.0000 latent_std_mean=0.6114
[catch_wm s0 d15000] eval [q] return -3.40 ± 1.80 (10 episodes, 572 eval decisions)
[catch_wm s0 d15000] eval [lookahead] return -3.60 ± 1.36 (10 episodes, 572 eval decisions)
[catch_wm s0 d15000] checkpoint saved (3500 updates, 299s)
[catch_wm s0 d15029] episode 262: return -4, 60 decisions
[catch_wm s0 d15089] episode 263: return -5, 60 decisions
[catch_wm s0 d15146] episode 264: return -5, 57 decisions
[catch_wm s0 d15198] episode 265: return -5, 52 decisions
[catch_wm s0 d15257] episode 266: return -1, 59 decisions
[catch_wm s0 d15310] episode 267: return -5, 53 decisions
[catch_wm s0 d15367] episode 268: return -3, 57 decisions
[catch_wm s0 d15425] episode 269: return -3, 58 decisions
[catch_wm s0 d15483] episode 270: return -5, 58 decisions
[catch_wm s0 d15541] episode 271: return -3, 58 decisions
[catch_wm s0 d15601] episode 272: return -4, 60 decisions
[catch_wm s0 d15661] episode 273: return -3, 60 decisions
[catch_wm s0 d15721] episode 274: return -4, 60 decisions
[catch_wm s0 d15780] episode 275: return -5, 59 decisions
[catch_wm s0 d15836] episode 276: return -5, 56 decisions
[catch_wm s0 d15894] episode 277: return -3, 58 decisions
[catch_wm s0 d15950] episode 278: return -3, 56 decisions
[catch_wm s0 d16007] episode 279: return -5, 57 decisions
[catch_wm s0 d16062] episode 280: return +1, 55 decisions
[catch_wm s0 d16122] episode 281: return -2, 60 decisions
[catch_wm s0 d16178] episode 282: return -3, 56 decisions
[catch_wm s0 d16238] episode 283: return +0, 60 decisions
[catch_wm s0 d16296] episode 284: return -3, 58 decisions
[catch_wm s0 d16353] episode 285: return -1, 57 decisions
[catch_wm s0 d16410] episode 286: return -3, 57 decisions
[catch_wm s0 d16466] episode 287: return -3, 56 decisions
[catch_wm s0 d16524] episode 288: return +1, 58 decisions
[catch_wm s0 d16579] episode 289: return -5, 55 decisions
[catch_wm s0 d16638] episode 290: return -1, 59 decisions
[catch_wm s0 d16695] episode 291: return -1, 57 decisions
[catch_wm s0 d16752] episode 292: return +3, 57 decisions
[catch_wm s0 d16808] episode 293: return -5, 56 decisions
[catch_wm s0 d16866] episode 294: return -5, 58 decisions
[catch_wm s0 d16923] episode 295: return -5, 57 decisions
[catch_wm s0 d16983] episode 296: return -3, 60 decisions
[catch_wm s0 d17000] update 4000: loss_q=0.0172 loss_jepa=0.0778 loss_reward=0.0187 loss_continue=0.0426 loss_var=0.0000 latent_std_mean=0.5969
[catch_wm s0 d17043] episode 297: return -4, 60 decisions
[catch_wm s0 d17099] episode 298: return -1, 56 decisions
[catch_wm s0 d17158] episode 299: return -3, 59 decisions
[catch_wm s0 d17216] episode 300: return -3, 58 decisions
[catch_wm s0 d17276] episode 301: return -5, 60 decisions
[catch_wm s0 d17335] episode 302: return +1, 59 decisions
[catch_wm s0 d17392] episode 303: return -3, 57 decisions
[catch_wm s0 d17452] episode 304: return -2, 60 decisions
[catch_wm s0 d17511] episode 305: return -3, 59 decisions
[catch_wm s0 d17568] episode 306: return -3, 57 decisions
[catch_wm s0 d17627] episode 307: return -5, 59 decisions
[catch_wm s0 d17687] episode 308: return -4, 60 decisions
[catch_wm s0 d17747] episode 309: return -4, 60 decisions
[catch_wm s0 d17804] episode 310: return +5, 57 decisions
[catch_wm s0 d17862] episode 311: return -1, 58 decisions
[catch_wm s0 d17921] episode 312: return -5, 59 decisions
[catch_wm s0 d17979] episode 313: return -5, 58 decisions
[catch_wm s0 d18034] episode 314: return -3, 55 decisions
[catch_wm s0 d18091] episode 315: return -3, 57 decisions
[catch_wm s0 d18147] episode 316: return -5, 56 decisions
[catch_wm s0 d18204] episode 317: return -1, 57 decisions
[catch_wm s0 d18259] episode 318: return -1, 55 decisions
[catch_wm s0 d18314] episode 319: return -1, 55 decisions
[catch_wm s0 d18365] episode 320: return -1, 51 decisions
[catch_wm s0 d18419] episode 321: return -1, 54 decisions
[catch_wm s0 d18475] episode 322: return -5, 56 decisions
[catch_wm s0 d18535] episode 323: return -4, 60 decisions
[catch_wm s0 d18589] episode 324: return +1, 54 decisions
[catch_wm s0 d18643] episode 325: return -1, 54 decisions
[catch_wm s0 d18702] episode 326: return -3, 59 decisions
[catch_wm s0 d18762] episode 327: return -5, 60 decisions
[catch_wm s0 d18822] episode 328: return -2, 60 decisions
[catch_wm s0 d18882] episode 329: return -1, 60 decisions
[catch_wm s0 d18937] episode 330: return -3, 55 decisions
[catch_wm s0 d18993] episode 331: return -1, 56 decisions
